content,score,sentiment,clean
"aplikasinya nge lag terus, baru juga download masa udah nge lag aja tolong dong perbaiki, kalau untuk diskon sih bagus diskonnya gede gede tapi tiap kali mau co malah nge lag mulu sma kalau mau nambahin alamat tuh susah nya pake banget kita tuh gk bisa masukin titik lokasi rumah kita!!! Kayak semua nya tuh harus ngikutin titik lokasi yang ada di app nya aja jadi kesel tau gak!!! pleaseee kalian harus bisa perbaiki ini demi kenyamanan pengguna!!!!",1,negatif,aplikasinya nge lag terus baru juga download masa udah nge lag aja tolong dong perbaiki kalau untuk diskon sih bagus diskonnya gede gede tapi tiap kali mau co malah nge lag mulu sma kalau mau nambahin alamat tuh susah nya pake banget kita tuh gk bisa masukin titik lokasi rumah kita kayak semua nya tuh harus ngikutin titik lokasi yang ada di app nya aja jadi kesel tau gak pleaseee kalian harus bisa perbaiki ini demi kenyamanan pengguna
"pas pencet batalkan transaksi BCA nggak bisa, padahal orang gak punya BCA makanya membatalkan, tapi malah nggak bisa dibatalkan",1,negatif,pas pencet batalkan transaksi bca nggak bisa padahal orang gak punya bca makanya membatalkan tapi malah nggak bisa dibatalkan
OK,5,positif,ok
ok baik,5,positif,ok baik
saya sudah sering beli tapi terus di kembalikan sama system,1,negatif,saya sudah sering beli tapi terus di kembalikan sama system
bagus,5,positif,bagus
BAGUSS BANGET SUKAKKK,5,positif,baguss banget sukakkk
ok,5,positif,ok
buruk sekali dalam menyediakan layanan keluhan pelanggan... sama sekali tidak ada respon yg baik... terkesan menambah masalah bukannya menyelesaikan masalah...,1,negatif,buruk sekali dalam menyediakan layanan keluhan pelanggan sama sekali tidak ada respon yg baik terkesan menambah masalah bukannya menyelesaikan masalah
Pengiriman Terburuk Di Tokopedia adalah Gojek Instan Kurir. Kurirnya Lamban dan seringan membatalkan pengiriman sepihak. Jauh lebih bagus Grab instan Kurir. Tapi karna sekarang sudah tidak bisa memilih kurir yg di inginkan. yasudahlah. Pokoknya kecewa.,1,negatif,pengiriman terburuk di tokopedia adalah gojek instan kurir kurirnya lamban dan seringan membatalkan pengiriman sepihak jauh lebih bagus grab instan kurir tapi karna sekarang sudah tidak bisa memilih kurir yg di inginkan yasudahlah pokoknya kecewa
coba aja sendiri biar tahu rasanya,1,negatif,coba aja sendiri biar tahu rasanya
saya menerima makanan kaleng yang sudah penyok dan terbuka ketika diterima. dan pengembalian dana hanya bisa dilakukan setelah produk dikembalikan ke penjual padahal produk yang dikirim adalah makanan.,1,negatif,saya menerima makanan kaleng yang sudah penyok dan terbuka ketika diterima dan pengembalian dana hanya bisa dilakukan setelah produk dikembalikan ke penjual padahal produk yang dikirim adalah makanan
aplikasi ini sangat mudah digunskan dan banyak kegunaannya dan ada untung,5,positif,aplikasi ini sangat mudah digunskan dan banyak kegunaannya dan ada untung
banyak oknum penjual penipu dan saya menjadi salah 1 korban hilang saldo gopay akses ke tokopedia ke blokir seharusnya sistem pihak tokopedia bisa peka dan bisa lebih dini mencegah hal serupa jika ada indikasi penipuan bisa dideteksi dari awal agar pembeli bisa lebih aman akhirnya saya memilih pindah ke apk sebelah karena semua proses pengaduan melalui tokopedia care sia-sia,1,negatif,banyak oknum penjual penipu dan saya menjadi salah korban hilang saldo gopay akses ke tokopedia ke blokir seharusnya sistem pihak tokopedia bisa peka dan bisa lebih dini mencegah hal serupa jika ada indikasi penipuan bisa dideteksi dari awal agar pembeli bisa lebih aman akhirnya saya memilih pindah ke apk sebelah karena semua proses pengaduan melalui tokopedia care siasia
"pengiriman instant/sameday tetapi paket sampai berhari² kemudian sejak pesanan dibuat, lantas apa gunanya🥴. sebagian besar waktu dihabiskan cuman untuk ""Mencari driver terdekat"" tanpa kepastian, itupun kalau ada driver yang ingin melakukan pick up pesanan Bila tidak ya... kembali lagi ""Mencari driver terdekat"". Bodoh. Sebagian mitra mengutarakan kalau mereka tidak diperlakukan pantas dengan ongkos yang mereka terima untuk mengantarkan barang ke konsumen sehingga mereka tidak ingin mengantarkan.",1,negatif,pengiriman instantsameday tetapi paket sampai berhari kemudian sejak pesanan dibuat lantas apa gunanya sebagian besar waktu dihabiskan cuman untuk mencari driver terdekat tanpa kepastian itupun kalau ada driver yang ingin melakukan pick up pesanan bila tidak ya kembali lagi mencari driver terdekat bodoh sebagian mitra mengutarakan kalau mereka tidak diperlakukan pantas dengan ongkos yang mereka terima untuk mengantarkan barang ke konsumen sehingga mereka tidak ingin mengantarkan
tolong dong toko toko yang menipu disortir lagi karena saya tertipu saat pembelian emas logam untung saya belum bayar semuanya!!!,3,netral,tolong dong toko toko yang menipu disortir lagi karena saya tertipu saat pembelian emas logam untung saya belum bayar semuanya
"sering update, aplikasi jadi tambah berat, bukan tambah bagus",2,negatif,sering update aplikasi jadi tambah berat bukan tambah bagus
"udah gak pernah dapat gratis ongkir lagi atau promo yg menarik, padahal dulu rutin belanja di sini, apakah user lama yg lain juga ada yg mengalami nya",1,negatif,udah gak pernah dapat gratis ongkir lagi atau promo yg menarik padahal dulu rutin belanja di sini apakah user lama yg lain juga ada yg mengalami nya
"males asli, banyak bug nya",1,negatif,males asli banyak bug nya
habis beli malah kuponnya hilang semua,1,negatif,habis beli malah kuponnya hilang semua
jelek,1,negatif,jelek
"dana refund belum masuk rekening sudah 2 minggu, akun dinonaktifkan, email udah 3 hari belum ada balasan",1,negatif,dana refund belum masuk rekening sudah minggu akun dinonaktifkan email udah hari belum ada balasan
"asli ribet banget masalah komplain sekarang di Tokopedia gak semudah shopee , terlalu banyak peraturan buat komplain di Tokopedia, sudah berhari-hari gak bisa komplain , padahal barang yang sampai tidak sesuai, pantes gak maju2 ini marketplace",1,negatif,asli ribet banget masalah komplain sekarang di tokopedia gak semudah shopee terlalu banyak peraturan buat komplain di tokopedia sudah berharihari gak bisa komplain padahal barang yang sampai tidak sesuai pantes gak maju ini marketplace
kenapa kok uninstall sendiri,1,negatif,kenapa kok uninstall sendiri
"APLIKASI PERAMPOK UANG. AKU MEMBELI LAPTOP TAPI KARENA SALAH PAKE ALAMAT JADINYA AKU CANCEL DULU KATA SELLER NYA DAN AKU CANCEL UNTUK MENGGANTI ALAMAT, LALU KARENA PEMBAYARAN NYA MELALUI BANK DIGITAL ALHASIL MENUNGGU REFUND DANA NYA. TETAPI UANG REFUND ITU TAK KUNJUNG KEMBALI, SUDAH BERUSAHA CHAT CUSTOMER SERVICE NYA CUMAN DI CUEKIN DAN RESPON NYA LAMA BISA SEHARIAN BARU BALAS SEKALI, DAN BALAS NYA TIDAK SESUAI.",1,negatif,aplikasi perampok uang aku membeli laptop tapi karena salah pake alamat jadinya aku cancel dulu kata seller nya dan aku cancel untuk mengganti alamat lalu karena pembayaran nya melalui bank digital alhasil menunggu refund dana nya tetapi uang refund itu tak kunjung kembali sudah berusaha chat customer service nya cuman di cuekin dan respon nya lama bisa seharian baru balas sekali dan balas nya tidak sesuai
"Balikin tokopedia kaya dulu lagi. sekarang berat banget ini aplikasi. Dari dulu pakai tokped karena simple dan banyak popup promo. sekarang ikut ikutan pmomo kaya oren tp malah berat banget aplikasinya. sabar nunggu update, setelah update pun malah parah.",1,negatif,balikin tokopedia kaya dulu lagi sekarang berat banget ini aplikasi dari dulu pakai tokped karena simple dan banyak popup promo sekarang ikut ikutan pmomo kaya oren tp malah berat banget aplikasinya sabar nunggu update setelah update pun malah parah
banyakin vocher donggg bubub tokped♥️♥️,4,positif,banyakin vocher donggg bubub tokped
"buat klaim asuransi barang rusak terlalu lama tidak ada kepastian , udah jelas jelas paket yang datang itu rusak . saya merasa dirugikan",1,negatif,buat klaim asuransi barang rusak terlalu lama tidak ada kepastian udah jelas jelas paket yang datang itu rusak saya merasa dirugikan
"kurirnya tidak ada, instant 2 hari ga di pick up, proses refund lama, kapok",1,negatif,kurirnya tidak ada instant hari ga di pick up proses refund lama kapok
"cs nya kebanyakan nongkrong, slow respon gak sperti shopee,.",1,negatif,cs nya kebanyakan nongkrong slow respon gak sperti shopee
"ini gimana sih aplikasi, saya order barang pakai delivery instant. dari kemarin sampai sekarang driver gak ada yg pick up. tanggung jawab nya gimana ini. 😡😡. asal bikin promo2 aja tapi gak jalan.",1,negatif,ini gimana sih aplikasi saya order barang pakai delivery instant dari kemarin sampai sekarang driver gak ada yg pick up tanggung jawab nya gimana ini asal bikin promo aja tapi gak jalan
Kocak makin lama makin amburadul pengiriman nya 🤣 pantes kalah saing sm ijo,1,negatif,kocak makin lama makin amburadul pengiriman nya pantes kalah saing sm ijo
"sekarang tak kasih bintang 5, pelayanan oke, gercep, pengiriman dapat JNT. jos mantab ... cepet sekali sampai rumah terimakasih Tokopedia dan JNT",5,positif,sekarang tak kasih bintang pelayanan oke gercep pengiriman dapat jnt jos mantab cepet sekali sampai rumah terimakasih tokopedia dan jnt
"mau beli obat susah banget, disuruh chat dokter antri lama tapi gak dapet",1,negatif,mau beli obat susah banget disuruh chat dokter antri lama tapi gak dapet
"tokped udah bagus , banyak diskon nya lagi , hanya kadang ongkirnya mahal dibanding olshop lain , semoga ke depan nya tokped bisa lebih baik dan banyak free ongkir dan diskonya hehe",4,positif,tokped udah bagus banyak diskon nya lagi hanya kadang ongkirnya mahal dibanding olshop lain semoga ke depan nya tokped bisa lebih baik dan banyak free ongkir dan diskonya hehe
Alhamdulillah dapet diskon pulsa,5,positif,alhamdulillah dapet diskon pulsa
susah cek out terkendala terus,1,negatif,susah cek out terkendala terus
"nyesel gua sempet ngasih Bintang 5. padahal gua pertama kali pake apl ini, tapi pas belanja dan dapat vocher pengiriman gajelas gagal terus, pihak toko dan jasa kirimnya sama² ga bertanggung jawab. masa barang udah mau sampe, tiba² gagal dikirim dengan alasan inilah itulah, barang mau disortirlah, salah kirim lah, barang hilang lah, ujung-ujungnya malah mau dikembalikan lagi ke penjualnya. lah kalo ga niat jualan jangan sosoan pake vocher segala lah.",2,negatif,nyesel gua sempet ngasih bintang padahal gua pertama kali pake apl ini tapi pas belanja dan dapat vocher pengiriman gajelas gagal terus pihak toko dan jasa kirimnya sama ga bertanggung jawab masa barang udah mau sampe tiba gagal dikirim dengan alasan inilah itulah barang mau disortirlah salah kirim lah barang hilang lah ujungujungnya malah mau dikembalikan lagi ke penjualnya lah kalo ga niat jualan jangan sosoan pake vocher segala lah
aplikasi jadi lemottttt ampunnnnn hp keluaran baru juga berasa jadi hp kentang buka aplikasi ini,1,negatif,aplikasi jadi lemottttt ampunnnnn hp keluaran baru juga berasa jadi hp kentang buka aplikasi ini
"tokopedia sekarang dapat discon belanja , discon ongkir bukan nya mengurangi harga barang malah nambah harga barang.......",3,netral,tokopedia sekarang dapat discon belanja discon ongkir bukan nya mengurangi harga barang malah nambah harga barang
bagus GK misa masuk,5,positif,bagus gk misa masuk
"makin gajelas ini aplikasi, mau ubah metode pembayaran sering gagal, mau bayar pun sering gagal, bahkan sekedar chat ke penjual pun gak bisa loh. bagaimana mungkin ini bisa jadi aplikasi jual-beli kalau chat ke penjual saja tidak bisa",2,negatif,makin gajelas ini aplikasi mau ubah metode pembayaran sering gagal mau bayar pun sering gagal bahkan sekedar chat ke penjual pun gak bisa loh bagaimana mungkin ini bisa jadi aplikasi jualbeli kalau chat ke penjual saja tidak bisa
Kenapa gak bisa di buka ya keluar sendiri aplikasinya,3,netral,kenapa gak bisa di buka ya keluar sendiri aplikasinya
"Assalamu'alaikum warahmatullah Wabarakatuh,amanah,keren,produknya berkualitas, sukses selalu,Aamiin",5,positif,assalamualaikum warahmatullah wabarakatuhamanahkerenproduknya berkualitas sukses selaluaamiin
terima kasih untuk layanan jasa nya,5,positif,terima kasih untuk layanan jasa nya
"Biasanya obat resep pakai halodoc gampang, skrg pakai tokoclinic susah. Susah tersambung ke dokternya, susah juga mau atc ke etalase obat yang aku mau. Ngekliknya dietalase yg aku mau beli, pas udah jadi resepnya ngga bisa beli diapotik yg aku mau 😆. Beli onlen biar irit & mager, kalau ribet kayak gini mah beli ajalah di apotik langsung. Kalau bisa seperti Halodoc dong gampang dpt resepnya & atc obatnya.",1,negatif,biasanya obat resep pakai halodoc gampang skrg pakai tokoclinic susah susah tersambung ke dokternya susah juga mau atc ke etalase obat yang aku mau ngekliknya dietalase yg aku mau beli pas udah jadi resepnya ngga bisa beli diapotik yg aku mau beli onlen biar irit mager kalau ribet kayak gini mah beli ajalah di apotik langsung kalau bisa seperti halodoc dong gampang dpt resepnya atc obatnya
pengiriman brg tepat waktu,3,netral,pengiriman brg tepat waktu
CS kurang baik dan selalu Offline,1,negatif,cs kurang baik dan selalu offline
"balikin uang saya, saya gak punya apk ini kok bisa""nya kepotong shop tokopedia",1,negatif,balikin uang saya saya gak punya apk ini kok bisanya kepotong shop tokopedia
"aplikasi gak jelas , ngasih voucher setelah checkout dibatalkan aistem mending dlbelanja di shopee lebih jelas kalau ngasih voucher",2,negatif,aplikasi gak jelas ngasih voucher setelah checkout dibatalkan aistem mending dlbelanja di shopee lebih jelas kalau ngasih voucher
mudah dan efisien suka,5,positif,mudah dan efisien suka
"Hati - Hati belanja di tokped!!! Barang palsu msh dijual percuma komplain ke tokped ga ada solusi msh bela seller yg ga amanah cuma tokped yg alur komplain ribet sampai 2 bln lbh tapi tetap bela seller ga amanah saya beli antibiotik ini ga cuma sekali jd tau mana yg asli & tdk saya sertakan bukti perbedaan brng yg biasa saya beli dg yg palsu (ga ada box, tgl exp beda) sangat mengecewakan!!! saya ga ridho dunia akhirat untuk manajemen tokped & seller akan saya temui di hari perhitungan",1,negatif,hati hati belanja di tokped barang palsu msh dijual percuma komplain ke tokped ga ada solusi msh bela seller yg ga amanah cuma tokped yg alur komplain ribet sampai bln lbh tapi tetap bela seller ga amanah saya beli antibiotik ini ga cuma sekali jd tau mana yg asli tdk saya sertakan bukti perbedaan brng yg biasa saya beli dg yg palsu ga ada box tgl exp beda sangat mengecewakan saya ga ridho dunia akhirat untuk manajemen tokped seller akan saya temui di hari perhitungan
bagus,5,positif,bagus
Kenapa gak bisa di instal pada sudah di download 5 kali...??? 😡,1,negatif,kenapa gak bisa di instal pada sudah di download kali 
Saya slalu ketipu bli barang di Tokopedia. Udah di pesan barang nya tapi gak Dateng 5 hari,3,netral,saya slalu ketipu bli barang di tokopedia udah di pesan barang nya tapi gak dateng hari
sya tdk suka dngn aplikasi in,5,positif,sya tdk suka dngn aplikasi in
"Info pengiriman tidak jelas. aplikasi sering eror tidak bisa dibuka. byk bug. ""jual beli aman dan nyaman"" jauh dari kata nyaman. mengecewakan.",1,negatif,info pengiriman tidak jelas aplikasi sering eror tidak bisa dibuka byk bug jual beli aman dan nyaman jauh dari kata nyaman mengecewakan
bagus,5,positif,bagus
Toped bess,5,positif,toped bess
"buka toko di Tokopedia ribet samvah,, gak kaya di aplikasi oren simple",1,negatif,buka toko di tokopedia ribet samvah gak kaya di aplikasi oren simple
menarik,5,positif,menarik
good,5,positif,good
2 pesanan saya kok gk ada di daftar belanjaan... udah coba update gk bisa hapus apk malah gk bisa login lagi. mana udah bayar lagi.. Hadew,1,negatif, pesanan saya kok gk ada di daftar belanjaan udah coba update gk bisa hapus apk malah gk bisa login lagi mana udah bayar lagi hadew
oke,5,positif,oke
"saya pesan dari tokopedia tanggal 3 maret 11:58 WIB, tapi sampai tgl 5 maret pukul 02:00 pesanan saya tidak juga dilakukan proses pengiriman oleh pihak toko TP-Link, saya puluhan kali ajukan komplain ke pihak TOKOPEDIA care namun hanya dapat jawaban utk sabar. peraturan pihak tokopedia bahwa H+1 hari kerja bahwa pesanan sudah harus dikirim namun pihak tokopedia dalam komplain saya mengarahkan utk membatalkan pesanan saya.. SANGAT2 TIDAK PROFESIONAL PIHAK TOKOPEDIA & PIHAK TP-LINK !!!!!!",1,negatif,saya pesan dari tokopedia tanggal maret wib tapi sampai tgl maret pukul pesanan saya tidak juga dilakukan proses pengiriman oleh pihak toko tplink saya puluhan kali ajukan komplain ke pihak tokopedia care namun hanya dapat jawaban utk sabar peraturan pihak tokopedia bahwa h hari kerja bahwa pesanan sudah harus dikirim namun pihak tokopedia dalam komplain saya mengarahkan utk membatalkan pesanan saya sangat tidak profesional pihak tokopedia pihak tplink 
ok baguss,5,positif,ok baguss
aman dan nyaman...,5,positif,aman dan nyaman
apk tokopedia selalu minta di update tapi semakin lemot berat,3,netral,apk tokopedia selalu minta di update tapi semakin lemot berat
"Gangguan di rumah tokped gak beres2 sejak tahun baru...Error terus tiap x mau melakukan pembayaran malah kadang di bilang gak ada sinyal pdhal buka youtube dan ig lancar2 aj...Ud d restart berkali2, install ulang, plane mode gak ada perubahan...Apa krn efek tiktok shop gabung ke tokped..??",4,positif,gangguan di rumah tokped gak beres sejak tahun baruerror terus tiap x mau melakukan pembayaran malah kadang di bilang gak ada sinyal pdhal buka youtube dan ig lancar ajud d restart berkali install ulang plane mode gak ada perubahanapa krn efek tiktok shop gabung ke tokped
"Aplikasi toped bagus gk ribet, ada ovonya segala. Jadi mesen makanan lewat grab pake ovo yg di toped 😘",1,negatif,aplikasi toped bagus gk ribet ada ovonya segala jadi mesen makanan lewat grab pake ovo yg di toped 
sangat memuaskan belaja di sini,5,positif,sangat memuaskan belaja di sini
aplkasinya sangat bagus dan membantu,5,positif,aplkasinya sangat bagus dan membantu
"yuk pindah ke shope , integrasi tokopedia sangat ribett ,,, niat mau jualan malah gak bisa aplikasi gak guna sampah bangettt . tiap minggu aplikasinya pembaruan mulu jadi males buka aplikasi karna ganggu banget . padahal kalo shope gak di perbarui pun aplikasi masih bisa digunakan , kalau tokped gak bisa dipake 👎👎",1,negatif,yuk pindah ke shope integrasi tokopedia sangat ribett niat mau jualan malah gak bisa aplikasi gak guna sampah bangettt tiap minggu aplikasinya pembaruan mulu jadi males buka aplikasi karna ganggu banget padahal kalo shope gak di perbarui pun aplikasi masih bisa digunakan kalau tokped gak bisa dipake 
banyak promo+ gratis ongkir mantap pokoknya,5,positif,banyak promo gratis ongkir mantap pokoknya
"bagus, pengembalian dana saat pembatalan pesanan cukup cepat, Terimakasih",5,positif,bagus pengembalian dana saat pembatalan pesanan cukup cepat terimakasih
"udah 2 kali beli di tokopedia pakai sameday dapet kurir paxel, paket di ambil sama kurir udah malem dan ujung2nya paket datang besoknya. lama-lama males juga pakai tokopedia, mending shopee pakai sameday kurir spx paketnya selalu datang di hari yang sama.",1,negatif,udah kali beli di tokopedia pakai sameday dapet kurir paxel paket di ambil sama kurir udah malem dan ujungnya paket datang besoknya lamalama males juga pakai tokopedia mending shopee pakai sameday kurir spx paketnya selalu datang di hari yang sama
aplikasi terpercaya 👍👍👍,5,positif,aplikasi terpercaya 
"di toko yg sama, barang yang sama, jauh lebih murah di shopee bjir..",1,negatif,di toko yg sama barang yang sama jauh lebih murah di shopee bjir
mantap,5,positif,mantap
"kurang bagus ga kayak aplikasi sioren, di sini toko seenak sdri batalin orderan cust.",2,negatif,kurang bagus ga kayak aplikasi sioren di sini toko seenak sdri batalin orderan cust
Mohon diperbaiki bug,5,positif,mohon diperbaiki bug
bagus,5,positif,bagus
Setelah update malah ngelag. Plus loadnya juga lama :(,3,netral,setelah update malah ngelag plus loadnya juga lama 
menu lacak semakin ga kelihatan,1,negatif,menu lacak semakin ga kelihatan
unintal aja aplikasi ruwet ribet daftar toko susah amat entar lagi bangkrut lu..,1,negatif,unintal aja aplikasi ruwet ribet daftar toko susah amat entar lagi bangkrut lu
"beli obat aja di persulit padahal saya ada resep dari dokter nya , tpi malah di suruh konsul lagi. ini mau nya gimana coba.",1,negatif,beli obat aja di persulit padahal saya ada resep dari dokter nya tpi malah di suruh konsul lagi ini mau nya gimana coba
mantap banget,5,positif,mantap banget
Promonya hoax,1,negatif,promonya hoax
bagus,5,positif,bagus
murah bgt. cepat juga,5,positif,murah bgt cepat juga
Bagus dan cepat,5,positif,bagus dan cepat
skrg Tokopedia gk ada gratis ongkir apa?,1,negatif,skrg tokopedia gk ada gratis ongkir apa
pelayanan sangat buruk,1,negatif,pelayanan sangat buruk
terlalu mahal ongkirnya,1,negatif,terlalu mahal ongkirnya
Kecewa bener stengah jam lebih mau top up e money stuck di verif pembayaran. Ga jelas bgt asli,1,negatif,kecewa bener stengah jam lebih mau top up e money stuck di verif pembayaran ga jelas bgt asli
Ganggu aja,1,negatif,ganggu aja
voucher tidak bisa di gunakan dan voucher cepat hilang,1,negatif,voucher tidak bisa di gunakan dan voucher cepat hilang
nice,5,positif,nice
tolong dong buka in aplikasi ini dengan proses yg mudah sebab aplikasi yg ngeleg bikin pusing.tima kasih,5,positif,tolong dong buka in aplikasi ini dengan proses yg mudah sebab aplikasi yg ngeleg bikin pusingtima kasih
bacot notife asu yah,1,negatif,bacot notife asu yah
"slalu telat pengiriman,makanya punya kurir sendiri jgn mitra2an",1,negatif,slalu telat pengirimanmakanya punya kurir sendiri jgn mitraan
Bug nya banyak niat beli malah harganya jadi normal,1,negatif,bug nya banyak niat beli malah harganya jadi normal
saya tidak iklan nya,1,negatif,saya tidak iklan nya
"TOKOPEDIA semakin jadi parah banget banyak masalah, sering time out",1,negatif,tokopedia semakin jadi parah banget banyak masalah sering time out
buruk harganya ga konsisten,1,negatif,buruk harganya ga konsisten
sangat menganggu,1,negatif,sangat menganggu
kenapa jd sering froud ga bisa check out,1,negatif,kenapa jd sering froud ga bisa check out
"sangat murah,kualitas,pengiriman bagus",5,positif,sangat murahkualitaspengiriman bagus
ongkirnya dibikin gratis dong kyk shopee sama tiktok Adain fitur pencarian foto supaya enak cri yg mau kita beli contohnya baju atau tas pria,3,netral,ongkirnya dibikin gratis dong kyk shopee sama tiktok adain fitur pencarian foto supaya enak cri yg mau kita beli contohnya baju atau tas pria
"sekarang kok lama bener ya untuk pengiriman instant gosend, masa menunggu kurir aja sampe 1 jam lebih. mohon di tingkatkan lagi pengiriman instantnya, kalo nggak pilih grab aja teruuus.",5,positif,sekarang kok lama bener ya untuk pengiriman instant gosend masa menunggu kurir aja sampe jam lebih mohon di tingkatkan lagi pengiriman instantnya kalo nggak pilih grab aja teruuus
