content,score
aplikasi ini sangat mudah digunskan dan banyak kegunaannya dan ada untung,5
banyak oknum penjual penipu dan saya menjadi salah 1 korban hilang saldo gopay akses ke tokopedia ke blokir seharusnya sistem pihak tokopedia bisa peka dan bisa lebih dini mencegah hal serupa jika ada indikasi penipuan bisa dideteksi dari awal agar pembeli bisa lebih aman akhirnya saya memilih pindah ke apk sebelah karena semua proses pengaduan melalui tokopedia care sia-sia,1
"pengiriman instant/sameday tetapi paket sampai berhari² kemudian sejak pesanan dibuat, lantas apa gunanya🥴. sebagian besar waktu dihabiskan cuman untuk ""Mencari driver terdekat"" tanpa kepastian, itupun kalau ada driver yang ingin melakukan pick up pesanan Bila tidak ya... kembali lagi ""Mencari driver terdekat"". Bodoh. Sebagian mitra mengutarakan kalau mereka tidak diperlakukan pantas dengan ongkos yang mereka terima untuk mengantarkan barang ke konsumen sehingga mereka tidak ingin mengantarkan.",1
tolong dong toko toko yang menipu disortir lagi karena saya tertipu saat pembelian emas logam untung saya belum bayar semuanya!!!,3
"sering update, aplikasi jadi tambah berat, bukan tambah bagus",2
"udah gak pernah dapat gratis ongkir lagi atau promo yg menarik, padahal dulu rutin belanja di sini, apakah user lama yg lain juga ada yg mengalami nya",1
"males asli, banyak bug nya",1
habis beli malah kuponnya hilang semua,1
jelek,1
"dana refund belum masuk rekening sudah 2 minggu, akun dinonaktifkan, email udah 3 hari belum ada balasan",1
"asli ribet banget masalah komplain sekarang di Tokopedia gak semudah shopee , terlalu banyak peraturan buat komplain di Tokopedia, sudah berhari-hari gak bisa komplain , padahal barang yang sampai tidak sesuai, pantes gak maju2 ini marketplace",1
kenapa kok uninstall sendiri,1
"APLIKASI PERAMPOK UANG. AKU MEMBELI LAPTOP TAPI KARENA SALAH PAKE ALAMAT JADINYA AKU CANCEL DULU KATA SELLER NYA DAN AKU CANCEL UNTUK MENGGANTI ALAMAT, LALU KARENA PEMBAYARAN NYA MELALUI BANK DIGITAL ALHASIL MENUNGGU REFUND DANA NYA. TETAPI UANG REFUND ITU TAK KUNJUNG KEMBALI, SUDAH BERUSAHA CHAT CUSTOMER SERVICE NYA CUMAN DI CUEKIN DAN RESPON NYA LAMA BISA SEHARIAN BARU BALAS SEKALI, DAN BALAS NYA TIDAK SESUAI.",1
"Balikin tokopedia kaya dulu lagi. sekarang berat banget ini aplikasi. Dari dulu pakai tokped karena simple dan banyak popup promo. sekarang ikut ikutan pmomo kaya oren tp malah berat banget aplikasinya. sabar nunggu update, setelah update pun malah parah.",1
banyakin vocher donggg bubub tokped♥️♥️,4
"buat klaim asuransi barang rusak terlalu lama tidak ada kepastian , udah jelas jelas paket yang datang itu rusak . saya merasa dirugikan",1
"kurirnya tidak ada, instant 2 hari ga di pick up, proses refund lama, kapok",1
"cs nya kebanyakan nongkrong, slow respon gak sperti shopee,.",1
"ini gimana sih aplikasi, saya order barang pakai delivery instant. dari kemarin sampai sekarang driver gak ada yg pick up. tanggung jawab nya gimana ini. 😡😡. asal bikin promo2 aja tapi gak jalan.",1
Kocak makin lama makin amburadul pengiriman nya 🤣 pantes kalah saing sm ijo,1
"sekarang tak kasih bintang 5, pelayanan oke, gercep, pengiriman dapat JNT. jos mantab ... cepet sekali sampai rumah terimakasih Tokopedia dan JNT",5
"mau beli obat susah banget, disuruh chat dokter antri lama tapi gak dapet",1
"tokped udah bagus , banyak diskon nya lagi , hanya kadang ongkirnya mahal dibanding olshop lain , semoga ke depan nya tokped bisa lebih baik dan banyak free ongkir dan diskonya hehe",4
Alhamdulillah dapet diskon pulsa,5
susah cek out terkendala terus,1
"nyesel gua sempet ngasih Bintang 5. padahal gua pertama kali pake apl ini, tapi pas belanja dan dapat vocher pengiriman gajelas gagal terus, pihak toko dan jasa kirimnya sama² ga bertanggung jawab. masa barang udah mau sampe, tiba² gagal dikirim dengan alasan inilah itulah, barang mau disortirlah, salah kirim lah, barang hilang lah, ujung-ujungnya malah mau dikembalikan lagi ke penjualnya. lah kalo ga niat jualan jangan sosoan pake vocher segala lah.",2
aplikasi jadi lemottttt ampunnnnn hp keluaran baru juga berasa jadi hp kentang buka aplikasi ini,1
"tokopedia sekarang dapat discon belanja , discon ongkir bukan nya mengurangi harga barang malah nambah harga barang.......",3
bagus GK misa masuk,5
"makin gajelas ini aplikasi, mau ubah metode pembayaran sering gagal, mau bayar pun sering gagal, bahkan sekedar chat ke penjual pun gak bisa loh. bagaimana mungkin ini bisa jadi aplikasi jual-beli kalau chat ke penjual saja tidak bisa",2
Kenapa gak bisa di buka ya keluar sendiri aplikasinya,3
"Assalamu'alaikum warahmatullah Wabarakatuh,amanah,keren,produknya berkualitas, sukses selalu,Aamiin",5
terima kasih untuk layanan jasa nya,5
"Biasanya obat resep pakai halodoc gampang, skrg pakai tokoclinic susah. Susah tersambung ke dokternya, susah juga mau atc ke etalase obat yang aku mau. Ngekliknya dietalase yg aku mau beli, pas udah jadi resepnya ngga bisa beli diapotik yg aku mau 😆. Beli onlen biar irit & mager, kalau ribet kayak gini mah beli ajalah di apotik langsung. Kalau bisa seperti Halodoc dong gampang dpt resepnya & atc obatnya.",1
pengiriman brg tepat waktu,3
CS kurang baik dan selalu Offline,1
"balikin uang saya, saya gak punya apk ini kok bisa""nya kepotong shop tokopedia",1
"aplikasi gak jelas , ngasih voucher setelah checkout dibatalkan aistem mending dlbelanja di shopee lebih jelas kalau ngasih voucher",2
mudah dan efisien suka,5
"Hati - Hati belanja di tokped!!! Barang palsu msh dijual percuma komplain ke tokped ga ada solusi msh bela seller yg ga amanah cuma tokped yg alur komplain ribet sampai 2 bln lbh tapi tetap bela seller ga amanah saya beli antibiotik ini ga cuma sekali jd tau mana yg asli & tdk saya sertakan bukti perbedaan brng yg biasa saya beli dg yg palsu (ga ada box, tgl exp beda) sangat mengecewakan!!! saya ga ridho dunia akhirat untuk manajemen tokped & seller akan saya temui di hari perhitungan",1
bagus,5
Kenapa gak bisa di instal pada sudah di download 5 kali...??? 😡,1
Saya slalu ketipu bli barang di Tokopedia. Udah di pesan barang nya tapi gak Dateng 5 hari,3
sya tdk suka dngn aplikasi in,5
"Info pengiriman tidak jelas. aplikasi sering eror tidak bisa dibuka. byk bug. ""jual beli aman dan nyaman"" jauh dari kata nyaman. mengecewakan.",1
bagus,5
Toped bess,5
"buka toko di Tokopedia ribet samvah,, gak kaya di aplikasi oren simple",1
menarik,5
good,5
2 pesanan saya kok gk ada di daftar belanjaan... udah coba update gk bisa hapus apk malah gk bisa login lagi. mana udah bayar lagi.. Hadew,1
oke,5
"saya pesan dari tokopedia tanggal 3 maret 11:58 WIB, tapi sampai tgl 5 maret pukul 02:00 pesanan saya tidak juga dilakukan proses pengiriman oleh pihak toko TP-Link, saya puluhan kali ajukan komplain ke pihak TOKOPEDIA care namun hanya dapat jawaban utk sabar. peraturan pihak tokopedia bahwa H+1 hari kerja bahwa pesanan sudah harus dikirim namun pihak tokopedia dalam komplain saya mengarahkan utk membatalkan pesanan saya.. SANGAT2 TIDAK PROFESIONAL PIHAK TOKOPEDIA & PIHAK TP-LINK !!!!!!",1
ok baguss,5
aman dan nyaman...,5
apk tokopedia selalu minta di update tapi semakin lemot berat,3
"Gangguan di rumah tokped gak beres2 sejak tahun baru...Error terus tiap x mau melakukan pembayaran malah kadang di bilang gak ada sinyal pdhal buka youtube dan ig lancar2 aj...Ud d restart berkali2, install ulang, plane mode gak ada perubahan...Apa krn efek tiktok shop gabung ke tokped..??",4
"Aplikasi toped bagus gk ribet, ada ovonya segala. Jadi mesen makanan lewat grab pake ovo yg di toped 😘",1
sangat memuaskan belaja di sini,5
aplkasinya sangat bagus dan membantu,5
"yuk pindah ke shope , integrasi tokopedia sangat ribett ,,, niat mau jualan malah gak bisa aplikasi gak guna sampah bangettt . tiap minggu aplikasinya pembaruan mulu jadi males buka aplikasi karna ganggu banget . padahal kalo shope gak di perbarui pun aplikasi masih bisa digunakan , kalau tokped gak bisa dipake 👎👎",1
banyak promo+ gratis ongkir mantap pokoknya,5
"bagus, pengembalian dana saat pembatalan pesanan cukup cepat, Terimakasih",5
"udah 2 kali beli di tokopedia pakai sameday dapet kurir paxel, paket di ambil sama kurir udah malem dan ujung2nya paket datang besoknya. lama-lama males juga pakai tokopedia, mending shopee pakai sameday kurir spx paketnya selalu datang di hari yang sama.",1
aplikasi terpercaya 👍👍👍,5
"di toko yg sama, barang yang sama, jauh lebih murah di shopee bjir..",1
mantap,5
"kurang bagus ga kayak aplikasi sioren, di sini toko seenak sdri batalin orderan cust.",2
Mohon diperbaiki bug,5
bagus,5
Setelah update malah ngelag. Plus loadnya juga lama :(,3
menu lacak semakin ga kelihatan,1
unintal aja aplikasi ruwet ribet daftar toko susah amat entar lagi bangkrut lu..,1
"beli obat aja di persulit padahal saya ada resep dari dokter nya , tpi malah di suruh konsul lagi. ini mau nya gimana coba.",1
mantap banget,5
Promonya hoax,1
bagus,5
murah bgt. cepat juga,5
Bagus dan cepat,5
skrg Tokopedia gk ada gratis ongkir apa?,1
pelayanan sangat buruk,1
terlalu mahal ongkirnya,1
Kecewa bener stengah jam lebih mau top up e money stuck di verif pembayaran. Ga jelas bgt asli,1
Ganggu aja,1
voucher tidak bisa di gunakan dan voucher cepat hilang,1
nice,5
tolong dong buka in aplikasi ini dengan proses yg mudah sebab aplikasi yg ngeleg bikin pusing.tima kasih,5
bacot notife asu yah,1
"slalu telat pengiriman,makanya punya kurir sendiri jgn mitra2an",1
Bug nya banyak niat beli malah harganya jadi normal,1
saya tidak iklan nya,1
"TOKOPEDIA semakin jadi parah banget banyak masalah, sering time out",1
buruk harganya ga konsisten,1
sangat menganggu,1
kenapa jd sering froud ga bisa check out,1
"sangat murah,kualitas,pengiriman bagus",5
ongkirnya dibikin gratis dong kyk shopee sama tiktok Adain fitur pencarian foto supaya enak cri yg mau kita beli contohnya baju atau tas pria,3
"sekarang kok lama bener ya untuk pengiriman instant gosend, masa menunggu kurir aja sampe 1 jam lebih. mohon di tingkatkan lagi pengiriman instantnya, kalo nggak pilih grab aja teruuus.",5
mana promonya,1
aplikasinya buruk tidak bisa ganti no hp,1
"paket sering gak sampai. udah jelas pengiriman kelamat yang salah dengan alamat saya yang ada di invoice dan resi, tapi Tokopedia gak punya sistem yang bisa mendeteksi itu, parahnya lagi malah membenarkan dan berpihak pada kurir!!! bubar aja toko pedia & j&t!!! Juga, ngasih gratis ongkir tapi Ekspedisi abal-abal kaya JNT. paket teLat parah atau malah gak sampai!!! Kalo merasa rugi ya gak usah kasih gratis ongkir apalagi kalo cuma buat nyusahin!! prettt... uninstall.. pindah aja kesebelah",1
"Kesalahan ada di pihak kalian, tetapi saya sebagai konsumen yang harus menanggung kerugian yang disebabkan oleh tim anda. Tidak recommended lagi menggunakan aplikasi ini.",1
saya unistal lemot dan gangguan mulu,5
"ongkir keluar pulau Jawa mahal,",4
aplikasi nya bagus,5
"Tokopedia kebanyakan iklan, aplikasinya jadi berat. ga seperti dlu. tolong di perbaiki dong",2
"Hati"" yg make tokopedia, klo ada barang refund bisa diperlama sampe berbulan""",1
terkena penipuan cod di chat Tokopedia balasan tidak menemukan solusi,1
"Senang sayah pake tokopedia, aplikasinya berwarna biru bagus, suka berubah rubah warnanya lambang aplikasi, keirren,, barang di tokopedia bagus bagus, tolong admin tokopedia pertahankan, jangan sambay bangkruut,",5
entah kenapa semenjak terafiliasi ama t*kt*k makin ribet dan mengecewakan,1
mantap,5
so so,3
belanja dengan harga terjangkau,5
"selalu puas belanja di sini cuma kurir nya aja yg dari J&T saya sangat d kecewakan main retur aja pesenan orang alasan ga ada orang nya, d tolak pembeli, kurir ga ada otak nya untuk ke depan tolong di perbaiaki lagi terimakasih sukses selalu",5
"Tokopedia sekarang sudah tidak aman untuk bertransaksi lg, bisa hack sm kurir Tokopedia sendiri, Sy lapor justru di blokir akun sy payah2, payah2, payah2",1
alhamdulillah dtg kulitnya bgus,5
"Pesanan saya pada dibatalkan oleh sistem. Toko gak kunjung mengirimkan sampai dibatalkan sendiri oleh sistem. Kebanyakan alasannya sih karena menunggu kurir, tapi masalahnya di aplikasi e-commerce lain, sepengalaman saya gaada tuh yang sampai 4 hari ""menunggu kurir"". Kan saya jadi skeptis ""apa karena pake voucher, toko gamau rugi jadinya di acc tapi nunggu pembatalan sistem"" ? itu aja sih yang bikin kecewa nya. Kalau ini pesanan terakhir saya juga dibatalkan keknya gaakan pake app ini lagi.",1
"pengiriman lama bngt bisa 5-6 hari, kadang dh sampe di kota tapi g di anter²",2
pernah belanja tapi datangnya lama,4
pengiriman terlalu lamaa pernah beli laptop hampir 1 bulan baru sampe,1
sejak digabungkan dengan Tik tok saya sudah tidak mau belanja di sini lg,1
iklan mengganggu..!!,1
Pelayanannya..okeey👍 pokoknya Yakin belanja disini..👌😘,5
"Untuk Tokopedia nyaa sendiri ga adaa masalah, toko oren aja bisa lepas dari JandT masa tokopedia gabisa sihh?",4
"layanan slow respon, pembayaran tidak terverifikasi. layanan slow respon, tanpa solusi.",1
lumayan,3
"Kadang ngebug, tidak dapat melakukan payment",3
"banyak toko tutup,,udah check out nunggu lama di cek lagi ternyata toko dah lama gak aktif,,mohon kedepannya di bering pemberitahuan jika toko memang gak jualan lagi",3
"banyak selller nonaktif dibiarkan, beberapa kali checkout ga dikirim akhirnya batal, percuma ngasih voucher kalo ujung²nya batal pesanannya",2
makasih Tokopedia sangat membantu,5
simple dan praktis,5
good,5
pengiriman sudah lumayanlah,4
"kualitas pengantaran nya sangat rendah, platfrom sebesar ini masa kualitas pengantaran nya sangat rendah",1
belanja jadi mudah,5
"2x saya beli celana tactical am jam tangan di bohongin , celen bekas pake, am celana sobek"". jam tangan gak ad cas Bede am yg di iklanain. sangat mengecewakan pelanggan",1
ni aplikasi mantap no scam² dana hilang beberapa jam kembali lgi mantapp,5
good,5
sangat bagus,5
bagus,4
"sekarang ongkirnya mahal, terlalu banyak iklan di aplikasi lain",3
"gimana sih, mau checkout tinggal bayar terjadi kendala mulu, bisa dipake ngga sih aplikasi nya, terserah dah",1
Iklan selalu muncul,1
"Pelayanan retur tidak bagus, user tidak mengerti salah pencet tidak dapat dibantu oleh tim tokopedia.",1
bagus,5
yoi,5
aplikasi belaja keren,5
"Tokopedia tolong ubah chat dokter ke halodoc lagi, Tokopedia Farma parah banget, susah banget dapat dokter, terus yg dipilih toko mana , yg disaranin toko mana, kan gak lucu kalau kejauhan mahalan ongkir daripada harga obat",2
mantap,5
pengirimannya buruk ndak bisa pilih pengiriman,1
ada promo tapi waktu dipakai disuruh beli tanpa promo maksudnya apa ini???,1
waktu bayar diskonnya hilang,1
bagus sangat ganggu aja,5
"bonus point yg gk guna, keluarnya cuman beberapa ribu doang, sampai expired 200+rb, hapus aja lah",1
Aplikasi Tokopedia ini sangat bagus banget digunakan untuk belanja karena banyak diskon yang bisa dipakai dan hasilnya terbaik,5
ga ada promo apalagi gratis ongkir,1
"kenapa masih dipertahankan kerjasama dengan kargo jne ini, bikin males belanja karna pengiriman jne yang lama pol",1
"aplikasi lemot ga ada gratis ongkir medit banget, sekarang beli obat ga bisa upload resep harus chat dokter sungguh dongok",1
"aplikasi Semakin jelek sekali di pake sering blengk gak loading.....saya pelanggan Tokopedia udah lama sejak 2019an... TPI sekarang malak aplikasi Semakin buruk.... Ada program Gratis ongkir..saat cek out.....Ongkir Membengkak.,..... ada iklan BEBAS ONGKIR....tapi harus langganan per bulan 150 000..sama aja bohong ..... Karena gak setiap hari belanja di Tokopedia Buruk...Buruk..Buruk..... geser ke si oyen aja kali",1
Sebaiknya Tokopedia memberi opsi pengiriman kepada konsumen...,3
mkasih atas kenyamanan anda,5
"sekarang ga ada gratis ongkir, harus berlangganan plus dulu.. jadi males belanja ditokped lagi",1
"aplikasi ecommerce paling kocak, bukan jadi mudah malah nyusahin penjual dan pembeli.. aplikasi yg ga support sama UMKM, tapi di suport terus sama pemerintah.. saya sudah beralih ke shopee.",2
sangat baik cepat layananya,5
sangat bagus sih,5
Mantap.....Jaya Terus...,5
ok bagus,5
JELEK BANGETTTTTT TOKOPEDIAAAA:( nyesel banget kaliini berbelanja di Tokopedia,1
iklan nya merusak perangkat hp saya,1
SAYA SANGAT MENYUKAI NYA DENGAN BARANG YANG SESUAI,5
"Tokopedia ini makin ga jelas dan merugikan pembeli.. paket non cod sudah 2 Minggu stuck dan ga Bergerak sama sekali , dikomplain malah di tolak , ditanya perihal barang ga bisa jawab.. benar2 merugikan konsumen... sampai detik ini masih menggantung paket ga datang, komplain di tolak, uang ga kembali.. bertransaksi non COD di Tokopedia sangat2 riskan dan tidak aman..",1
terimakasih Tokopedia,5
masa mau beli barang mumpung ada promo eh mau beli malah nggak bisa promo nya apaan sih nggak jelas banget sumpah udah pake dana tetap aja sumpah nggak jelas banget asli,1
mantap boss,4
"mudah gunakannya,keamanan dijamin,",5
"mau beli obat skrg ribet bgt. hrs konsultasi ditokoclinik, dokternya ngasi resep obat dgn harga yg mehong². ga kyk dlu, ribet.",3
untuk pelayanan dan pembelian sudah bagus cuma satu sering-seringlah untuk perhatikan lagi penjual sudah berapa kali barang yang datang bukan yang mau aku beli,4
ok,5
bagus,4
aplikasi bagus membantu saya dlm belanja,5
gak jelas apk nya,1
"Min promo nendang nya dong munculin 99% samp 1jt deh, wkwkwk, minimal 50% sampai 1jt juga boleh, mau beli hifi air 5G nih",5
mantap,5
"aplikasi mantap responnya baik, sekarang aku kasih bintang⭐⭐⭐⭐⭐",5
sangat membantu,5
semoga sukses terus dan jaya 😁🤭🤗👍👍,5
kenapa kok sampai terlambat kalao pilih kurir yang cepet kilat kok sampai terlambat datang nya,4
bagus,5
mantap gan,5
Bagus dan aman,5
"gaada voucher belanja dan gratis ongkir, tokped mahal. klau udh dikasih voucher belanja dan gratis ongkir ku kasih bintang 5. sudah chat cs jawabannya bisa belanja tanpa menggunakan voucher. lah kocak aku mah mending shopee aja gratis ongkir daripada tokped harganya mahal gaada solusi, minimal kembalikan voucher ku.",1
good,5
ongkir mahal,3
solusi tokped mengalami error :(IO-XIYM),1
mantaap,5
Beli obat aja dipersulit. Udah bener pake halodoc malah bikin aplikasi sendiri. Nyari dokter ga dapet dapet. Dzolim!,1
"saya memiliki kendala pada Tokopedia card, sudah saya email tetapi tidak direspon sama sekali. fitur Tokopedia card tidak bisa saya gunakan",1
"harganya ga konsisten, berubah pas mau check out",1
lebih bagus shope sih🗿🗿,5
cocok untuk belanja,5
tokopedia yg jualan penipu smua bisa sedot paylater org smpi hbs..,1
buruk,1
"Tokopedia emang oke,",5
ok,5
parah sering error servernya,3
menggaggu,1
bagus,5
Terima kasih..aplikasi yg bagus untuk jual beli product,5
Kenapa sampai saat ini saya tidak bisa melakukan pembayaran via transfer mandiri??...padahal saya sering bayar pakai transfer mandiri untuk tagihan2..,5
"makin mahal, harus daftar plus baru gratis ongkir.. pindah toko orange banyak gratis ongkir ternyata n murah murah. harga plus mahal 150rb/bulan..ga tiap hari belanja ko. plus 30rb sebulan wajar..nyekek 150rb",1
kenapa iklan terus sih,1
baik,5
"regulasi nya apa bgt, cod doang dibatasi, beberapa kategori barang gk bisa cod (obat,makanan, dll), padahal kalo enggak gitu lebih enak loh, karna gk semua org aktif menggunakan m-banking/e-wallet",1
susah buat cod,5
Nice... good jobs👍👌🤝,5
aplikasi gak tanggung jawab.sudah belanja sudah bayar malah di cencel udah gitu dana nya tidak di kembalikan...,1
Coba cek Toko HORIZON Audio Store. Produknya berharga 60 persen dari barang asli. Ulasannya bintang 5. Semua barang terjual 100. Yang memberikan ulasan anonim semua. Pasti itu penipu,1
"alhamdulillah,,, sejak sy belanja di Tokopedia,,, smua kebutuhan sy bisa tercukupi dgn hrg yg sangat terjangkau dn layanan yg baik pula.",5
"Tokopedia care memang terbaik, discount yang hangus gara gara toko tidak bertanggung jawab bisa kembali digunakan hehe, terimakasih Tokopedia ❤️",5
Aplikasinya keseringan minta update. Sebulan bisa 2X update,1
ojok metu iklan neng hp ku walaupun tidak f,1
beli ditokopedia harganya murah,5
ok mantul mantul,5
❤👍👍,5
"mau masuk aplikasi susahnya minta ampun. login eror, padahp paket data saya dan jaringan gede. .sorry uninstall",1
luar biasa,5
luar biyasa Tokopedia mantap,4
keren,5
iklan dmna mna,1
Alhamdulillah hebat banget,5
mengnggu saya,1
"saya kena tipu oleh seller di tokopedia, membeli tv barang tidak dikirim, lapor ke cs tokopedia malah makin pusing cuma disuruh mengulan ulang terus kronologinya, akhirnya duit saya hilang dan pihak tokopedia sampai saat ini tidak ada tanggapan!",5
"saya kasih b 1🙏🙏🙏 soalnya saya beli celana di sini sudah 3 hari belum datang"" mana uangnya sudah saya transfer😠",1
mantap full,5
bagus dan memuaskan !!!,5
okeeee,5
"tampilannya kurang praktis, nyari saldo tokopedia ajah susah ga praktis",1
Mantap,5
"!!, #### * *",1
beberapa kali ini pesan barang di tokopedia via same day ataupun instant kurir selalu tidak tepat waktu .... ujung ujungnya di batalkan sistem,3
mengganggu. hp bukan iklan,1
"hapus layanan instan ga guna... pesan instan sampe lebih dr sehari, tokped ga ngotak",1
ok,5
good 👍🦶,4
"saya pengguna baru di Tokopedia dan baru melakukan transaksi,karena barang tidak sesuai langsung saya retur,retur sudah di terima sellernya dan uang saya masuk ke saldo refund tapi kenyataanya saldo refund saya di toped tidak bisa di tarik dan juga tidak bisa untuk bayar transaksi di saldo refund saya, kecewa saya sebagai pengguna baru di toped",1
"Keseringan update...jadi eror !! Mau check out ( beli pakai promo ), slalu tertulis "" alamat terlalu jauh / ganti alamat / ada gangguan di rumah toped "" ???? Saya user dr pertama Toped ada...1 thn belakangan ini, apk suka eror & lemot ! Di rumah pakai 2 Wifi, msh juga suka lemot ! Kalau sdh bagus apk nya..jgn keseringan di update !",1
ganggu aja...terus nggak suka dgn aplikasi ini...,5
seneng bisa blanja dsni walau terkadang msh suka ada sedikit kesalahan yg tp bisalah,5
"Tolong umtuk tampilan buat lebih simple lagi, saya mau top up saldo tokped tidak jadi karena tidak menemukannya. bila perlu saldo di simpan di paling depan & paling atas, gausahlah banyakin iklan2 promo gk penting",1
"zeßzßaß ,ybx̌wel",4
menurut saya Tokopedia itu aplikasi belanja online paling baik lah soalnya harga nya juga lebih terjangkau,5
mantap. pelayanan bagus. tingkatkan,5
ini kenapa saya mau beli wdp uang pas di gopay udah berhasil tapi di riwayat transaksi tidak berhasil dana di kembalikan,1
"kenapa ga download dari dulu sih?!😭 sumpah ini apk nya bagus banget, harga nya murah murah, jadi belanja banyak pun tetep bisa hemat, diskon nya beneran gede, ga cuma NGE CLAIM kaya shopee itu. WAJIB DOWNNLOAD SEKARANGGGGG makasih ya buat yg udh nyiptain tokopedia, makasih team & seller. smg makin byk penggemarnyaa❤️❤️",5
Lamban,4
Saya senang dengan pelayanan toko pedia cepat tepat Dan akurat,5
mantap,5
pengalaman buruk,1
iklan mengganggu,1
pelayanan bagus,5
"Diperbaharui, buat beli obat susah, ribet. Buat beli di apotek langganan ngga bisa.",1
sangat baik terimakasih ka,5
gooddddd,5
banyak iklan,1
harga bersaing & banyak farian barangnya,5
"toko² yang ga responsif mending dihangusin aja akunnya biar pembeli ga ketipu. banyak toko² mati yang ga ngirim barang, buang² waktu",1
"Toped ngaco, brng tdk sampai dan uang sy tdk dikembalikan.",1
aplikasi mengganggu selalu muncul tanpa sebab,1
lemott anjayyyy gelehhh🙄🗿,2
reaksi cepat jika ada refund,5
